Test error with best (8, 3): 0.0380            
                                                                                                                  
      p   k  train_error
0     1   1     0.089667
1     1   2     0.089667
2     1   3     0.090000
3     1   4     0.083000
4     1   5     0.091333
5     1   6     0.090333
6     1   7     0.097000
7     1   8     0.090667
8     1   9     0.096667
9     1  10     0.097000
10    1  11     0.099333
11    1  12     0.101000
12    1  13     0.103000
13    1  14     0.102333
14    1  15     0.107667
15    1  16     0.107000
16    1  17     0.109667
17    1  18     0.110333
18    1  19     0.111000
19    1  20     0.112667
20    2   1     0.080667
21    2   2     0.080667
22    2   3     0.073000
23    2   4     0.073000
24    2   5     0.078333
25    2   6     0.079000
26    2   7     0.081667
27    2   8     0.082333
28    2   9     0.083333
29    2  10     0.088667
30    2  11     0.088000
31    2  12     0.089000
32    2  13     0.092333
33    2  14     0.093000
34    2  15     0.094333
35    2  16     0.095000
36    2  17     0.095667
37    2  18     0.095667
38    2  19     0.098000
39    2  20     0.098333
40    3   1     0.075333
41    3   2     0.075333
42    3   3     0.066333
43    3   4     0.069000
44    3   5     0.073333
45    3   6     0.077333
46    3   7     0.078000
47    3   8     0.077667
48    3   9     0.079667
49    3  10     0.083667
50    3  11     0.084667
51    3  12     0.085333
52    3  13     0.086000
53    3  14     0.084667
54    3  15     0.091333
55    3  16     0.090000
56    3  17     0.093333
57    3  18     0.090667
58    3  19     0.096000
59    3  20     0.095333
60    4   1     0.073333
61    4   2     0.073333
62    4   3     0.065333
63    4   4     0.067000
64    4   5     0.069333
65    4   6     0.074000
66    4   7     0.076667
67    4   8     0.075333
68    4   9     0.075667
69    4  10     0.077000
70    4  11     0.077667
71    4  12     0.082333
72    4  13     0.082667
73    4  14     0.080667
74    4  15     0.088333
75    4  16     0.086333
76    4  17     0.088333
77    4  18     0.087667
78    4  19     0.092000
79    4  20     0.091667
80    5   1     0.073000
81    5   2     0.073000
82    5   3     0.061333
83    5   4     0.067667
84    5   5     0.069000
85    5   6     0.069333
86    5   7     0.073667
87    5   8     0.073667
88    5   9     0.076667
89    5  10     0.074667
90    5  11     0.076000
91    5  12     0.076333
92    5  13     0.079667
93    5  14     0.078667
94    5  15     0.082333
95    5  16     0.082333
96    5  17     0.087667
97    5  18     0.086667
98    5  19     0.087667
99    5  20     0.091333
100   6   1     0.071333
101   6   2     0.071333
102   6   3     0.061000
103   6   4     0.065667
104   6   5     0.067667
105   6   6     0.066333
106   6   7     0.072333
107   6   8     0.071333
108   6   9     0.075667
109   6  10     0.072333
110   6  11     0.072667
111   6  12     0.073333
112   6  13     0.077333
113   6  14     0.076667
114   6  15     0.083000
115   6  16     0.081000
116   6  17     0.083000
117   6  18     0.085000
118   6  19     0.085333
119   6  20     0.087333
120   7   1     0.071000
121   7   2     0.071000
122   7   3     0.058333
123   7   4     0.064333
124   7   5     0.065667
125   7   6     0.066000
126   7   7     0.070667
127   7   8     0.070000
128   7   9     0.074000
129   7  10     0.072000
130   7  11     0.073667
131   7  12     0.072000
132   7  13     0.075667
133   7  14     0.077667
134   7  15     0.081333
135   7  16     0.080667
136   7  17     0.083333
137   7  18     0.081667
138   7  19     0.084000
139   7  20     0.086667
140   8   1     0.069333
141   8   2     0.069333
142   8   3     0.057667
143   8   4     0.063000
144   8   5     0.064333
145   8   6     0.063333
146   8   7     0.070000
147   8   8     0.069000
148   8   9     0.071333
149   8  10     0.068667
150   8  11     0.071333
151   8  12     0.071000
152   8  13     0.074333
153   8  14     0.076000
154   8  15     0.079000
155   8  16     0.080667
156   8  17     0.082333
157   8  18     0.082000
158   8  19     0.086000
159   8  20     0.086667
160   9   1     0.069333
161   9   2     0.069333
162   9   3     0.058000
163   9   4     0.062333
164   9   5     0.064000
165   9   6     0.063667
166   9   7     0.071333
167   9   8     0.068000
168   9   9     0.069333
169   9  10     0.068667
170   9  11     0.074000
171   9  12     0.071333
172   9  13     0.074333
173   9  14     0.075667
174   9  15     0.077000
175   9  16     0.080000
176   9  17     0.081000
177   9  18     0.081667
178   9  19     0.085667
179   9  20     0.086000
180  10   1     0.070333
181  10   2     0.070333
182  10   3     0.059000
183  10   4     0.062333
184  10   5     0.065667
185  10   6     0.063667
186  10   7     0.070333
187  10   8     0.068000
188  10   9     0.069333
189  10  10     0.070667
190  10  11     0.074667
191  10  12     0.071667
192  10  13     0.074000
193  10  14     0.075667
194  10  15     0.078333
195  10  16     0.079667
196  10  17     0.078333
197  10  18     0.082333
198  10  19     0.084333
199  10  20     0.085000
200  11   1     0.071667
201  11   2     0.071667
202  11   3     0.059333
203  11   4     0.061333
204  11   5     0.065667
205  11   6     0.063667
206  11   7     0.070333
207  11   8     0.068333
208  11   9     0.071333
209  11  10     0.071000
210  11  11     0.072667
211  11  12     0.071667
212  11  13     0.073333
213  11  14     0.076000
214  11  15     0.079333
215  11  16     0.079000
216  11  17     0.078000
217  11  18     0.083333
218  11  19     0.082333
219  11  20     0.084667
220  12   1     0.070667
221  12   2     0.070667
222  12   3     0.059333
223  12   4     0.061667
224  12   5     0.065000
225  12   6     0.064667
226  12   7     0.070667
227  12   8     0.068333
228  12   9     0.070667
229  12  10     0.070333
230  12  11     0.072333
231  12  12     0.071333
232  12  13     0.073000
233  12  14     0.075333
234  12  15     0.078000
235  12  16     0.077667
236  12  17     0.079000
237  12  18     0.082333
238  12  19     0.083000
239  12  20     0.085667
240  13   1     0.070333
241  13   2     0.070333
242  13   3     0.061000
243  13   4     0.061667
244  13   5     0.064667
245  13   6     0.065333
246  13   7     0.070667
247  13   8     0.068333
248  13   9     0.071667
249  13  10     0.070667
250  13  11     0.072667
251  13  12     0.071333
252  13  13     0.072667
253  13  14     0.074000
254  13  15     0.076333
255  13  16     0.076667
256  13  17     0.078333
257  13  18     0.081333
258  13  19     0.082333
